                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4829,                 4.7054,                   4.35,                0.00127,                0.17751,                0.00171,                0.00046,                 3.4712,                 4.4617,                 4.1461,                  0.091,                  0.001,                  0.001
                      1,                 3.3726,                 4.6286,                 4.3065,                0.00133,                0.18513,                0.00163,                0.00045,                 3.4636,                 4.4054,                  4.131,               0.080892,              0.0018921,              0.0018921
                      2,                 3.4716,                 4.4788,                 4.2952,                0.00128,                0.17931,                0.00155,                0.00044,                 3.4591,                 4.3724,                 4.1206,               0.070566,              0.0025664,              0.0025664
                      3,                 3.4855,                 4.4638,                 4.2464,                 0.0013,                0.17931,                0.00161,                0.00045,                 3.4545,                 4.3514,                 4.1117,               0.060023,              0.0030229,              0.0030229
                      4,                 3.4841,                 4.3637,                 4.2062,                0.00128,                0.17572,                0.00153,                0.00044,                   3.45,                 4.3341,                 4.1023,               0.049262,              0.0032616,              0.0032616
                      5,                 3.5133,                 4.4234,                  4.196,                0.00127,                0.17572,                0.00158,                0.00045,                 3.4476,                 4.3251,                 4.0962,               0.038283,              0.0032825,              0.0032825
                      6,                 3.4455,                  4.339,                 4.1746,                0.00136,                0.18692,                0.00169,                0.00046,                 3.4461,                 4.3193,                 4.0922,               0.027086,              0.0030856,              0.0030856
                      7,                 3.4234,                 4.2652,                 4.1494,                0.00137,                0.18872,                0.00169,                0.00044,                 3.4458,                  4.316,                 4.0882,               0.015671,              0.0026709,              0.0026709
                      8,                 3.3366,                 4.3242,                 4.1895,                0.00125,                 0.1753,                0.00161,                0.00043,                 3.4462,                 4.3162,                 4.0873,              0.0040384,              0.0020384,              0.0020384
                      9,                 3.3566,                 4.3011,                 4.1641,                0.00125,                 0.1753,                0.00143,                0.00041,                 3.4476,                 4.3173,                 4.0874,                0.00109,                0.00109,                0.00109
